latitude;longitude;classificacao_acidente;relev
-22.65237271;-43.23918118;Sem Vítimas;1
-19.89020759;-44.83338711;Com Vítimas Feridas;1
-26.26376839;-50.72757985;Com Vítimas Feridas;1
-22.17094703;-45.83750295;Com Vítimas Feridas;1
-26.21136649;-49.72750068;Com Vítimas Feridas;1
-28.42532339;-48.8919091;Com Vítimas Feridas;1
-15.97556585;-48.82566142;Com Vítimas Feridas;1
-1.29883965;-48.18120718;Com Vítimas Feridas;1
-25.86649659;-48.94666822;Sem Vítimas;1
-10.79098663;-62.04115379;Com Vítimas Feridas;1
-23.95437523;-54.29279479;Sem Vítimas;1
-20.35784325;-40.3328294;Com Vítimas Feridas;1
-22.202257;-45.960611;Com Vítimas Fatais;1
-24.06157909;-47.22591797;Com Vítimas Feridas;1
-12.09236717;-45.79994202;Com Vítimas Feridas;1
-25.66095117;-49.15500053;Com Vítimas Feridas;1
-5.83176615;-35.21191342;Com Vítimas Feridas;1
-19.313;-44.37;Sem Vítimas;1
-5.122542;-47.547592;Com Vítimas Fatais;1
-26.89854448;-48.92593861;Com Vítimas Feridas;1
-23.00246527;-44.27270594;Com Vítimas Feridas;1
-23.95129388;-47.10220309;Com Vítimas Feridas;1
-3.76159894;-38.51900662;Com Vítimas Feridas;1
-22.72996588;-43.61317403;Com Vítimas Feridas;1
-9.92497302;-63.05491046;Sem Vítimas;1
-19.95586853;-44.14609501;Com Vítimas Feridas;1
-19.99754736;-44.20919895;Sem Vítimas;1
-8.13315806;-48.4703064;Com Vítimas Fatais;1
-13.129472;-46.023173;Com Vítimas Fatais;1
-24.32689195;-47.56569901;Com Vítimas Feridas;1
-28.67634681;-49.12963202;Com Vítimas Feridas;1
-24.95393;-48.447268;Com Vítimas Feridas;1
-20.52516037;-44.63089389;Com Vítimas Feridas;1
-26.31295828;-49.38837778;Com Vítimas Feridas;1
-8.11418416;-35.12568999;Com Vítimas Feridas;1
-22.41517488;-42.95011324;Com Vítimas Feridas;1
-22.9178274;-43.90471593;Com Vítimas Feridas;1
-15.996379;-48.240028;Com Vítimas Feridas;1
-12.49530755;-41.32112295;Com Vítimas Feridas;1
-19.822546;-43.817345;Com Vítimas Feridas;1
-3.70427286;-39.61528609;Com Vítimas Feridas;1
-20.33295742;-40.35887718;Com Vítimas Feridas;1
-22.47307976;-49.88805771;Com Vítimas Fatais;1
-17.26808961;-53.29705668;Sem Vítimas;1
-23.02834313;-45.54472446;Com Vítimas Feridas;1
-24.95749618;-48.46440871;Com Vítimas Feridas;1
